core,fonts-freefont-ttf,Fonts
core,man-db,Manual pages
core,manpages,Manual pages
core,keyutils,Scripts for mounting encrypted partitions
core,openssh-client,Secure remote access
core,gnupg,encryption and signatures
core,telnet,Unsecure remote access
core,rfkill,Manages wireless devices
core,nmap,Network scanner
core,net-tools,Network tools
core,ufw,Uncomplicated Firewall
core,util-linux,Essential system utilities
core,sysstat,System statistics
core,lsof,Lists open files
core,progress,Check progress of coreutils
core,pv,Pipe progress viewer
core,tmux,Terminal multiplexer
core,lm-sensors,Hardware monitoring
core,brightnessctl,Controls brightness on a hardware level
core,lf,File manager
core,ffmpegthumbnailer,Thumbnails
core,imagemagick,Image manipulation
core,poppler-utils,PDF manipulation
core,mpv,Media player
core,ffmpeg,Everything multimedia files
core,python3-taglib,Media file metadata
core,pipewire-pulse,Audio server compatible with PulseAudio
core,pipewire-audio,Handle many devices
core,wireplumber,Session manager for PipeWire
core,pulsemixer,PulseAudio mixer
core,newsboat,RSS reader
core,command-not-found,Suggests packages for missing commands
core,bash-completion,Tab completion
core,gcc,Compilation
core,make,Compilation
core,libreadline-dev,Compilation
core,git,Version control system
core,patch,code patching tool
core,nano,Simple text editor by GNU
core,neovim,Extensible text editor
core,zip,Zip file creation
core,unzip,Zip file extraction
core,xz-utils,XZ compression
core,pipx,Python package manager
core,xdg-utils,xdg-open
core,libfile-mimeinfo-perl,File type detection for xdg-open
core,curl,Communicate with servers
core,rsync,File synchronization
core,tor,Onion services access
core,torsocks,Onion services access
core,aerc,Email client
core,tty-clock,Curses clock
core,fonts-noto-cjk,Chinese chars
core,iw,Network discovery and configuration
core,lbzip2,Compression algo
core,dosfstools,DOS file system tools
core,smartmontools,Disk monitoring
core,gnumeric,Spreadsheet
core,catdoc,Word file reader
core,docx2txt,Word file reader
core,bindfs,FUSE file system
core,vlock,Terminal lock
gui,nsxiv,Image viewer
gui,firefox,Browser
gui,keepassxc,Password manager
gui,gnome-themes-extra,gtk theme
xorg,xorg,Display server
xorg,libpam-elogind,login
xorg,elogind,login
xorg,xinit,Startup scripts for Xorg
xorg,compton,Modern compositor for Xorg
xorg,xclip,Clipboard manager
xorg,xwallpaper,Sets up wallpapers
xorg,maim,Screen capture
xorg,arandr,Monitor configuration
xorg,ueberzug,Image preview
wayl,foot,Minimalistic Wayland terminal emulator
wayl,swaybg,Wallpaper util for Wayland
wayl,wmenu,dmenu on Wayland
wayl,slurp,Region selector for Wayland
wayl,grim,Screenshooter for Wayland
wayl,libxcb1,Wayland support
wayl,libwlroots-0.18,Wayland support
wayl,libinput-bin,Wayland support
wayl,libwayland-bin,Wayland support
wayl,libwlroots10,Wayland support
wayl,libxkbcommon0,Wayland support
wayl,xwayland,X support on Wayland
wayl,libtbb12,ueberzubpp runtime dependency
wayl,libvips42,ueberzubpp runtime dependency
wayl,libchafa0,ueberzubpp runtime dependency
wayl,uuid-runtime,ueberzubpp runtime dependency
opt,signal-desktop,Private messaging
opt,brave-browser,Alternative browser
opt,libreoffice-writer,Office suite
opt,libreoffice-calc,Office suite
opt,simplescreenrecorder,Screen recording
opt,bluez,Bluetooth
opt,tigervnc-viewer,VNC viewer
opt,transmission-cli,CLI torrent client
games,steam-installer,Steam
games,mesa-vulkan-drivers,Vulkan drivers
games,libglx-mesa0:i386,Vulkan drivers
games,mesa-vulkan-drivers:i386,Vulkan drivers
games,libgl1-mesa-dri:i386,Vulkan drivers
dev,codium,Code editor
dev,groff,Documentation
dev,pandoc,Documentation
dev,libxft-dev,wm compilation
dev,libxinerama-dev,wm compilation
dev,libxkbfile-dev,wm compilation
dev,libharfbuzz-dev,terminal compilation
dev,libfribidi-dev,terminal compilation
dev,docker.io,Docker
dev,docker-cli,Docker
dev,docker-buildx,Docker
dev,docker-compose,Docker
dev,sqlite3,Databases
dev,sqlitebrowser,Databases
dev,software-properties-common,Essential tools
dev,build-essential,Essential tools
dev,autoconf,Essential tools
dev,automake,Essential tools
dev,libtool,Essential tools
dev,pkg-config,Essential tools
dev,libmpv-dev,Video development
dev,perl,Perl
dev,chromium,Core browser
dev,shellcheck,Check if shell scripts follow standards
dev,shfmt,Format shell scripts
virt,virt-manager,Frontend
virt,qemu-system-x86,QEMU for x86 and x86_64
virt,qemu-utils,QEMU utilities
virt,libvirt-daemon-system,Libvirt daemon
virt,ovmf,UEFI firmware
